st_id,st_nb_action
283468,4.0
283423,12.0
283946,20.0
275359,
275757,
281358,12.0
282425,2.0
281821,10.0
280431,19.0
277831,
283869,5.0
281288,18.0
282587,
284366,12.0
283583,15.0
275415,
283461,12.0
282734,11.0
281523,12.0
282624,10.0
282085,10.0
281855,10.0
281753,20.0
283281,18.0
283791,12.0
281370,13.0
281785,10.0
281751,16.0
281752,10.0
284023,16.0
282630,12.0
284714,
284478,12.0
281800,13.0
275752,
282955,17.0
283225,15.0
275517,
281918,
283324,2.0
280428,19.0
282621,
285358,16.0
286593,11.0
287559,14.0
